estacion,fecha,rr,tmx,tmn,tmd,hf,vv,RS
M0001,2017-01-22,0,16.6,7.5,11.5,2.29,9.23,-9999
M0001,2017-01-23,0,16.9,7.3,11.2,10.94,3.25,-9999
M0001,2017-01-24,0,15.2,8.6,11.2,5.53,16.44,-9999
M0001,2017-01-25,0,14.2,8.6,10.4,3.99,10.99,-9999
M0001,2017-01-26,0,12.8,8.8,10.1,8.61,4.89,-9999
M0001,2017-01-27,0,14.6,7.5,10.9,7.88,14.64,-9999
M0001,2017-01-28,0,13.7,7.1,10.1,10.44,1.46,-9999
M0001,2017-01-29,0,13.5,7,10.3,2.86,3.92,-9999
M0001,2017-01-30,0,14.7,6,10,10.95,8.17,-9999
M0001,2017-01-31,0,14.8,6.8,11,5.11,12.89,-9999
M0001,2017-02-01,0,15.2,6.2,11,7.76,4.94,-9999
M0001,2017-02-02,0,13.5,8,9.9,9.27,3.57,-9999
M0001,2017-02-03,0.1,15,7.1,10.8,2.49,1.51,-9999
M0001,2017-02-04,2.9,13.9,7.6,10.3,4.49,4.85,-9999
M0001,2017-02-05,14,14.6,7,9.9,5.48,9.41,-9999
M0001,2017-02-06,1.1,13.5,8.5,10.4,1.26,12.78,-9999
M0001,2017-02-07,0.1,13.1,8.1,10.1,1.44,12.59,-9999
M0001,2017-02-08,0,12.5,7.9,10,7.64,6.27,-9999
M0001,2017-02-09,0,13.4,8.1,10.1,1.16,8.57,-9999
M0001,2017-02-10,0,14.2,8.2,10.8,2.56,12.99,-9999
M0001,2017-02-11,0,13.7,8.5,10.7,1.59,5.62,-9999
M0001,2017-02-12,0,14.1,7.6,10.8,6.39,14.23,-9999
M0001,2017-02-13,0,14.6,8.7,10.9,5.89,12.04,-9999
M0001,2017-02-14,0,15.3,6.8,10.9,4.41,16.17,-9999
M0001,2017-02-15,0,15.4,7.9,11.3,6.25,3.78,-9999
M0001,2017-02-16,0,15.1,8.9,11.2,6.78,3.87,-9999
M0001,2017-02-17,0.5,15.6,8,10.9,4.77,4.5,-9999
M0001,2017-02-18,0,15.9,8.1,11,6.14,10.18,-9999
M0001,2017-02-19,0.5,14.9,8.7,11,3.87,4.67,-9999
M0001,2017-02-20,0,15.1,8.5,10.8,4.32,11.82,-9999
M0001,2017-02-21,0,14,8.2,9.9,5.78,4.5,-9999
M0001,2017-02-22,0,13.8,8,10.3,6.72,16.24,-9999
M0001,2017-02-23,1.7,14.7,8.6,10.8,4.87,4.92,-9999
M0001,2017-02-24,0.2,13.9,7.2,10.3,6.01,3.93,-9999
M0001,2017-02-25,0,11.8,7.4,9.3,4.74,9.48,-9999
M0001,2017-02-26,0,15.1,6.7,9.7,10.68,4.77,-9999
M0001,2017-02-27,0,14.9,8.1,10.7,3.79,1.89,-9999
M0001,2017-02-28,15.6,14.1,8.8,9.9,9.3,1.89,-9999
M0001,2017-03-01,0.2,14,7.5,10.8,3.62,5.68,-9999
M0001,2017-03-02,0.2,15.3,8,10.8,10.43,6.16,-9999
M0001,2017-03-03,0,16.6,7,11.5,1.85,7.47,-9999
M0001,2017-03-04,16,14.2,9,10.5,3.45,9.26,-9999
M0001,2017-03-05,2.4,13.8,8.7,10.3,8.89,10.42,-9999
M0001,2017-03-06,1,12,8.6,9.9,5.09,6.81,-9999
M0001,2017-03-07,12.6,16.7,8.4,11,7.31,9.93,-9999
M0001,2017-03-08,2.8,12.6,8.2,10.3,7.2,16.59,-9999
M0001,2017-03-09,0,13.8,7.9,10.6,2.37,3.34,-9999
M0001,2017-03-10,0,16.4,7.5,11.3,10.45,10.85,-9999
M0001,2017-03-11,0,14.5,8.4,10.9,2.97,1.43,-9999
M0001,2017-03-12,0,14,8.6,10.8,7.25,9.29,-9999
M0001,2017-03-13,0,14.8,5.2,9.7,4.57,5.96,-9999
M0001,2017-03-14,0.4,14.7,8,10.8,1.96,6.17,-9999
M0001,2017-03-15,8.8,14.4,7.7,11.2,1.23,12.34,-9999
M0001,2017-03-16,13.6,16.9,7.7,12,2.4,6.64,-9999
M0001,2017-03-17,0,14.8,8.1,11.4,10.69,3.31,-9999
M0001,2017-03-18,10.8,14.7,7.6,11.2,1.3,9.64,-9999
M0001,2017-03-19,0.5,15.4,7.9,10.7,6.8,14.47,-9999
M0001,2017-03-20,2.9,12.6,8.2,10.3,2.58,5.59,-9999
M0001,2017-03-21,2.6,15.9,7.4,11.7,9.93,14.27,-9999
M0001,2017-03-22,1.3,15.3,9,11.1,9.82,15.88,-9999
M0001,2017-03-23,1.4,16.3,8.5,11.1,8.9,6.33,-9999
M0001,2017-03-24,17.2,16.3,8.8,11.2,8.07,15.46,-9999
M0001,2017-03-25,0,14.6,8.7,11.2,3.75,9.48,-9999
M0001,2017-03-26,0,16.3,9.4,11.9,2.68,8.92,-9999
M0001,2017-03-27,0.8,16.5,8.7,11.5,10.23,7.18,-9999
M0001,2017-03-28,25.6,15.9,8.7,11.6,10.11,10.22,-9999
M0001,2017-03-29,4,14.5,9,10.9,1.8,16.09,-9999
M0001,2017-03-30,0,12.1,8.6,10,8.67,7.02,-9999
M0001,2017-03-31,4.7,15.3,7.7,11.4,2.28,16.51,-9999
M0001,2017-04-01,0,18.9,7.8,12.5,6.67,16.46,-9999
M0001,2017-04-02,3.7,17.8,8.9,12.5,6.92,8.77,-9999
M0001,2017-04-03,0.6,16.3,9.1,12,4.17,12.93,-9999
M0001,2017-04-04,0.9,15,7.9,11.1,4.87,10.62,-9999
M0001,2017-04-05,0,14.7,8.1,10.3,5.62,9.29,-9999
M0001,2017-04-06,41.9,16.3,8,12.4,9.7,14.71,-9999
M0001,2017-04-07,3.8,15.7,8,11.2,1.46,11.49,-9999
M0001,2017-04-08,18.6,15.1,8,11,2.59,10.75,-9999
M0001,2017-04-09,2.1,14.9,8.7,10.4,9.02,7.36,-9999
M0001,2017-04-10,10.2,15.3,8.8,10.7,3.69,14.99,-9999
M0001,2017-04-11,6.6,13.1,8.6,10.1,9.94,12.04,-9999
M0001,2017-04-12,0.5,15.4,8.6,10.6,1.65,10.91,-9999
M0001,2017-04-13,0,15.6,8.2,11.5,4,9.8,-9999
M0001,2017-04-14,0,14.9,9,10.7,10.75,10.21,-9999
M0001,2017-04-15,11.8,13.1,8.6,10.3,7.94,7.51,-9999
M0001,2017-04-16,0,12.9,9,10.1,4.33,8.62,-9999
M0001,2017-04-17,0,13.9,8.8,10.9,2.51,9.78,-9999
M0001,2017-04-18,0,10.9,8.9,9.7,3.62,9.55,-9999
M0001,2017-04-19,12.6,14.8,8.7,11.1,6.55,12.63,-9999
M0001,2017-04-20,2.3,15.2,8,10,1.14,2.42,-9999
M0001,2017-04-21,11,13.1,8,10,8.52,9.58,-9999
M0001,2017-04-22,0,12.6,7.9,10.1,8.87,2.44,-9999
M0001,2017-04-23,0,14.6,8.9,11.5,6.52,6.83,-9999
M0001,2017-04-24,5.3,16,8.6,11.4,4.91,2.87,-9999
M0001,2017-04-25,5,16.1,7.8,11.5,2.43,9.67,-9999
M0001,2017-04-26,37.6,16.8,8.6,11.8,3.7,8.56,-9999
M0001,2017-04-27,28.2,16.3,7.9,11.7,5.22,12.3,-9999
M0001,2017-04-28,6,16.3,7,11.4,3.31,5.97,-9999
M0001,2017-04-29,54.6,14.8,8.4,11,5.69,14.9,-9999
M0001,2017-04-30,0,15.8,7.8,11.3,1.32,10.59,-9999
M0001,2017-05-01,0.5,15.6,8.8,10.9,5.45,2.84,-9999
M0001,2017-05-02,0,14.6,7.9,10.5,7.94,1.84,-9999
M0001,2017-05-03,0,13.9,7.8,10.6,10.08,6.88,-9999
M0001,2017-05-04,0,16,8.7,11.1,10.84,15.88,-9999
M0001,2017-05-05,0,15.7,8,11,11,9.53,-9999
M0001,2017-05-06,0,16.3,7.9,11.1,7.68,9.34,-9999
M0001,2017-05-07,0,14.6,6.8,10.3,10.88,5.27,-9999
M0001,2017-05-08,0,15.6,6.6,10.9,10.89,7.17,-9999
M0001,2017-05-09,0,15.8,7.8,11.5,3.29,14.45,-9999
M0001,2017-05-10,0,16.5,7.8,11.8,4.72,4.59,-9999
M0001,2017-05-11,0,17.1,8.8,12,1.29,16.55,-9999
M0001,2017-05-12,0,16.4,8.4,11,6.7,12.85,-9999
M0001,2017-05-13,0,16.4,9.4,12.4,2.98,5,-9999
M0001,2017-05-14,0,15.8,6.4,11.6,1.72,7.24,-9999
M0001,2017-05-15,0,17.2,6.4,12.2,9.67,9.49,-9999
M0001,2017-05-16,0,14.2,7,10.1,2.24,12.57,-9999
M0001,2017-05-17,0,15.6,8.1,11.3,5.19,16.33,-9999
M0001,2017-05-18,1.3,16.8,8.8,12.2,7.84,13.45,-9999
M0001,2017-05-19,1.8,14.8,8.7,11.3,6.25,5.19,-9999
M0001,2017-05-20,3.9,14.5,8.6,10.5,3.06,3.43,-9999
M0001,2017-05-21,1.3,12.8,7.9,10,4,3.7,-9999
M0001,2017-05-22,3.8,14,7.7,9.9,5.58,11.51,-9999
M0001,2017-05-23,5.6,15.1,8.4,10.7,5.92,13.97,-9999
M0001,2017-05-24,0,15.3,8.7,11,5.32,7.12,-9999
M0001,2017-05-25,0,17,6.5,11.8,7.86,12.34,-9999
M0001,2017-05-26,7.4,16.1,6.6,11.3,3.42,9.19,-9999
M0001,2017-05-27,0.8,15.7,9,11.8,5.48,3.08,-9999
M0001,2017-05-28,13,13.1,7.8,10,4.18,12.42,-9999
M0001,2017-05-29,0.2,13,8,9.9,2.24,16.03,-9999
M0001,2017-05-30,0,15.2,6.7,10.8,10.92,8.61,-9999
M0001,2017-05-31,0,16.7,6.3,11.8,7.2,10.65,-9999
M0001,2017-06-01,10.6,16.4,7.8,12,8.1,12.42,-9999
M0001,2017-06-02,2.7,14.3,7.7,10.9,10.66,9.16,-9999
M0001,2017-06-03,20.3,14,7.6,10.6,7.85,4.38,-9999
M0001,2017-06-04,3.7,14.2,7,10.4,5.65,8.6,-9999
M0001,2017-06-05,2.5,14.7,8.8,11.3,5.22,13.64,-9999
M0001,2017-06-06,2.2,15.6,7.9,11.4,2.2,15.1,-9999
M0001,2017-06-07,2.2,16.1,7.9,11.3,8.99,10.2,-9999
M0001,2017-06-08,0.6,15.2,6.4,11.2,9.18,10.96,-9999
M0001,2017-06-09,0.1,13.7,6.7,10.2,3.5,8.97,-9999
M0001,2017-06-10,0,15.1,7.1,10.3,3.72,7.7,-9999
M0001,2017-06-11,0.3,15.2,6.8,11,2.33,6.09,-9999
M0001,2017-06-12,1.9,14.3,7,10.7,2.09,16.36,-9999
M0001,2017-06-13,0,13.6,7,10.4,8.42,6.28,-9999
M0001,2017-06-14,0.1,12.9,7.9,10.4,8.81,12.68,-9999
M0001,2017-06-15,0,14.6,8,11.2,4.58,5.69,-9999
M0001,2017-06-16,0,15.9,8.8,11.7,6.78,10.81,-9999
M0001,2017-06-17,0,13.7,6,10.6,2.35,12.91,-9999
M0001,2017-06-18,0,15.9,6.6,10.9,6.46,4.86,-9999
M0001,2017-06-19,0,16.2,7,11.3,8.88,2.4,-9999
M0001,2017-06-20,0,15.6,6.3,10.8,2.69,15.17,-9999
M0001,2017-06-21,0,15.8,6.9,10.9,7.29,4.58,-9999
M0001,2017-06-22,0,17.2,6.7,11,8.5,6.97,-9999
M0001,2017-06-23,0,16.9,8.3,12.4,1.71,6.68,-9999
M0001,2017-06-24,0,14.9,7.9,9.9,8.4,7.23,-9999
M0001,2017-06-25,0,13.6,7.8,10.6,9.01,8.95,-9999
M0001,2017-06-26,0,15.1,7.4,10.7,2.29,12.76,-9999
M0001,2017-06-27,0,15.6,6.7,11.1,3.51,8.45,-9999
M0001,2017-06-28,0,17.8,7.2,12.8,1.98,6.29,-9999
M0001,2017-06-29,0,18,6.4,12.1,10.72,2.46,-9999
M0001,2017-06-30,0,16.4,6.7,11.8,7.09,5.23,-9999
M0001,2017-07-01,0,13.4,7.4,10.3,1.09,14.67,-9999
M0001,2017-07-02,0,12.1,7.4,9.9,4.37,15.27,-9999
M0001,2017-07-03,0,13,7.4,9.3,4.64,9.75,-9999
M0001,2017-07-04,0,12.6,5,8.6,4.45,7.86,-9999
M0001,2017-07-05,0.1,13.4,5.3,10,8.45,8.02,-9999
M0001,2017-07-06,0,13.2,6.6,9.6,10.83,13.77,-9999
M0001,2017-07-07,0,13.5,6.2,10.2,7.41,7.66,-9999
M0001,2017-07-08,0.5,16.2,5.9,10.5,2.82,11.96,-9999
M0001,2017-07-09,0,17.2,5.4,12.1,1.25,2.98,-9999
M0001,2017-07-10,0,16.9,7,11.4,9.74,13.91,-9999
M0001,2017-07-11,0,14.6,7.6,10.6,8.39,6.38,-9999
M0001,2017-07-12,0,15.2,7.2,10.6,1.76,0.85,-9999
M0001,2017-07-13,0,14.3,7.6,10.6,6.55,13.95,-9999
M0001,2017-07-14,0,14.1,7.4,10.4,5.98,7.9,-9999
M0001,2017-07-15,0.2,14.3,7.8,10,8.41,8.44,-9999
M0001,2017-07-16,0,14.1,6,10.2,7.03,7.43,-9999
M0001,2017-07-17,0,14.8,5.5,10.3,10.62,9.73,-9999
M0001,2017-07-18,0,15.6,7.2,11,7.55,14.45,-9999
M0001,2017-07-19,0,15.9,5.7,10.8,9.83,16.03,-9999
M0001,2017-07-20,10.2,16.2,7.5,12.3,4.52,9.96,-9999
M0001,2017-07-21,0,17.5,6.4,12,3.34,11.77,-9999
M0001,2017-07-22,0.6,17.7,5.3,12.3,4.85,12.53,-9999
M0001,2017-07-23,0,17,7.1,11.7,6.34,14.18,-9999
M0001,2017-07-24,0,17.3,7,12.2,8.03,9.54,-9999
M0001,2017-07-25,0,16.6,8.2,11.9,1.6,11.29,-9999
M0001,2017-07-26,0,14.7,7.2,10.7,5.14,10.93,-9999
M0001,2017-07-27,0,16,6.8,11.5,4.53,16.31,-9999
M0001,2017-07-28,0,14.5,7.8,10.6,8.14,8.65,-9999
M0001,2017-07-29,0,15,7,10.2,1.68,2.46,-9999
M0001,2017-07-30,0,15.9,5.4,11.3,7.54,1.68,-9999
M0001,2017-07-31,0,15.2,5,10.7,7.62,1.8,-9999
M0001,2017-08-01,0,14.8,6.4,10.3,1.42,5.94,-9999
M0001,2017-08-02,0.7,16.9,7.3,11.4,8.66,11.34,-9999
M0001,2017-08-03,0,14.3,7.6,10.3,3.61,16.2,-9999
M0001,2017-08-04,2,13.8,7.6,10.5,10.06,9.95,-9999
M0001,2017-08-05,0,12.3,6.3,9,7.89,15.78,-9999
M0001,2017-08-06,0,12.4,6.8,9.9,6.98,10.58,-9999
M0001,2017-08-07,0,15.8,6,10.9,2.92,8.71,-9999
M0001,2017-08-08,0,16.7,6.8,11.6,10.7,9.55,-9999
M0001,2017-08-09,0,16.5,6.9,11.5,8.79,11.72,-9999
M0001,2017-08-10,0,16.4,6.5,11.3,6.18,8.73,-9999
M0001,2017-08-11,0,17.7,6,12.1,8.79,1.68,-9999
M0001,2017-08-12,0,15.4,6.8,11,4.72,3.62,-9999
M0001,2017-08-13,0,17.9,7.1,12,1.26,8.6,-9999
M0001,2017-08-14,0,13.7,7,10.7,8.46,12.85,-9999
M0001,2017-08-15,0,13.6,8.6,10,6.9,10.48,-9999
M0001,2017-08-16,0,15.8,8.6,12,8.2,11.4,-9999
M0001,2017-08-17,0,14.9,7.2,11.2,4.79,12.33,-9999
M0001,2017-08-18,0,16,6.9,10.5,1.69,9.96,-9999
M0001,2017-08-19,0,15.4,7.9,11.2,7.19,11.49,-9999
M0001,2017-08-20,0,16.3,7.7,11,4.02,2.18,-9999
M0001,2017-08-21,0,15,7.7,11,1.84,6.4,-9999
M0001,2017-08-22,0,15.4,7.2,11.3,3.69,8,-9999
M0001,2017-08-23,0,14.9,7.7,10.9,4.77,11.29,-9999
M0001,2017-08-24,0,15.8,8.2,11.4,5.81,12.57,-9999
M0001,2017-08-25,0,17.2,7.2,11.6,5.67,3.43,-9999
M0001,2017-08-26,0,18.8,4.8,12.4,6.6,3.19,-9999
M0001,2017-08-27,0,19.2,6.9,12.9,7.73,13.24,-9999
M0001,2017-08-28,0,16.8,7,11.4,7.14,13.26,-9999
M0001,2017-08-29,0,16.1,7.5,11.5,7.98,4.87,-9999
M0001,2017-08-30,5.7,16.3,7.7,11.8,8.85,5.53,-9999
M0001,2017-08-31,12.2,14,8.9,11.2,6.83,1.02,-9999
M0001,2017-09-01,1.1,17.2,6.6,11.6,9.47,8.66,-9999
M0001,2017-09-02,0,18.7,5.7,12.1,6.54,12.37,-9999
M0001,2017-09-03,0,18.2,8,12.1,5.99,1.28,-9999
M0001,2017-09-04,0,16.8,8.8,11.9,5.67,3.67,-9999
M0001,2017-09-05,0,14.7,8.8,10.6,8.14,13.16,-9999
M0001,2017-09-06,0,15.4,7.5,11.3,4.18,16.46,-9999
M0001,2017-09-07,0,17.8,8.3,12.5,1.12,10.68,-9999
M0001,2017-09-08,0,16.2,8.9,11.3,5.07,0.9,-9999
M0001,2017-09-09,0,14.6,6.5,10,10.88,7.8,-9999
M0001,2017-09-10,0,13.8,7,10.7,4.84,2.24,-9999
M0001,2017-09-11,0,14.8,7.8,10.7,4.84,9.07,-9999
M0001,2017-09-12,0,16,7.6,10.7,2.02,15.86,-9999
M0001,2017-09-13,0,17.7,6.4,12.1,5.33,1.35,-9999
M0001,2017-09-14,0,18,7.9,10.7,3.55,14.68,-9999
M0001,2017-09-15,0,17.6,6.9,11.8,3.65,7.57,-9999
M0001,2017-09-16,0,17.5,7.6,11.9,6.72,10.01,-9999
M0001,2017-09-17,0,17.8,8.9,12.3,1.62,3.41,-9999
M0001,2017-09-18,0,16.4,7.7,11.8,8.53,11.53,-9999
M0001,2017-09-19,3.8,18,7,11.5,9.88,13.47,-9999
M0001,2017-09-20,0,17.8,4.3,11.9,1.82,14.19,-9999
M0001,2017-09-21,0,16.1,8.8,11.7,9.41,8.72,-9999
M0001,2017-09-22,0,16.3,8.6,11.6,4.07,10.41,-9999
M0001,2017-09-23,0,14.6,7.6,11,3.76,15.75,-9999
M0001,2017-09-24,0,18,8,12.6,7.76,13.6,-9999
M0001,2017-09-25,0,17.6,7.6,12.3,6.62,12.34,-9999
M0001,2017-09-26,19,18,9,11.2,3.43,9.08,-9999
M0001,2017-09-27,26.8,17.3,5,10.5,7.76,10.09,-9999
M0001,2017-09-28,0,16.7,8.4,11.5,7.94,9.51,-9999
M0001,2017-09-29,0,17.4,7.8,12.1,2.69,3.25,-9999
M0001,2017-09-30,0,17.4,8.8,12.7,6.09,5.43,-9999
M0001,2017-10-01,0,17.1,7.9,10.8,8.59,11.94,-9999
M0001,2017-10-02,0,16.5,6.8,10.1,1.81,8.81,-9999
M0001,2017-10-03,0,13.2,7.4,9,9.65,11.91,-9999
M0001,2017-10-04,0,17,5,9.4,8.51,4.62,-9999
M0001,2017-10-05,0,14.2,7.1,9.7,5.67,10.37,-9999
M0001,2017-10-06,0,16.4,8,11.9,4.72,4.59,-9999
M0001,2017-10-07,0,16.8,8.2,9.6,7.75,3.8,-9999
M0001,2017-10-08,0,17.4,7.8,11.7,1.68,6.55,-9999
M0001,2017-10-09,0,17.9,4.5,9.9,4.13,15.71,-9999
M0001,2017-10-10,0,17.6,5.2,10.6,9.34,16.17,-9999
M0001,2017-10-11,0,18.4,6.4,12.2,4.09,3.16,-9999
M0001,2017-10-12,0,18.2,7.6,12.6,7.34,2.6,-9999
M0001,2017-10-13,0,15.6,9.4,11,2.08,15.49,-9999
M0001,2017-10-14,0,16.4,6.8,11.2,4.03,7.62,-9999
M0001,2017-10-15,0,17.6,7.6,12.1,2.43,4.43,-9999
M0001,2017-10-16,3.6,17,5.6,11.9,9.48,13.14,-9999
M0001,2017-10-17,0.2,17.7,5.8,11.7,10.11,1.17,-9999
M0001,2017-10-18,1.3,16.4,8,11.5,3.64,5.79,-9999
M0001,2017-10-19,3.9,14.9,8.5,10.3,6.97,3.53,-9999
M0001,2017-10-20,0,13.6,8.4,10,9.28,1.56,-9999
M0001,2017-10-21,9,14.2,8.4,10.4,1.2,1.35,-9999
M0001,2017-10-22,0.5,13.4,8,10.5,1.51,2.14,-9999
M0001,2017-10-23,4.7,16.9,5.2,11.8,5.38,13.35,-9999
M0001,2017-10-24,6.1,16.4,3.3,10.5,6.42,5.16,-9999
M0001,2017-10-25,10.6,13.9,7.8,9.4,9.16,8.57,-9999
M0001,2017-10-26,5.5,16.8,7.9,11.6,7.89,13.08,-9999
M0001,2017-10-27,5.3,17.6,7.7,12,9.15,13.02,-9999
M0001,2017-10-28,9.3,14,7.9,10.5,4.87,12.86,-9999
M0001,2017-10-29,12.6,13.7,8.1,10.5,10.04,10.73,-9999
M0001,2017-10-30,3.3,15.9,3.5,11.7,7.04,13.14,-9999
M0001,2017-10-31,3,18,7.5,10.7,7.14,16.6,-9999
M0001,2017-11-01,1,15.9,8.5,11.6,8.46,1.26,-9999
M0001,2017-11-02,0,15.6,8.5,11.6,7.65,11.3,-9999
M0001,2017-11-03,22.3,15,7.7,10.6,8.39,12.4,-9999
M0001,2017-11-04,4,16.8,7.2,10.5,10.77,8.64,-9999
M0001,2017-11-05,8.1,15.2,8.9,11.1,10.24,3.04,-9999
M0001,2017-11-06,11,13,8.4,10.3,9.55,9.78,-9999
M0001,2017-11-07,6.2,15.7,8.7,10.3,8.24,6.78,-9999
M0001,2017-11-08,0.1,15.7,8,11.4,1.14,9.14,-9999
M0001,2017-11-09,0.6,14.9,7.9,10.6,9.96,6.43,-9999
M0001,2017-11-10,26.8,15,6.7,10.9,2.26,11.1,-9999
M0001,2017-11-11,2,17.1,7.4,11.7,10.54,4.94,-9999
M0001,2017-11-12,0,17.3,7.9,12,10.26,13.64,-9999
M0001,2017-11-13,0.3,18.2,4.3,12.1,6.43,6,-9999
M0001,2017-11-14,0.1,15.3,5.6,10.6,10.23,15.68,-9999
M0001,2017-11-15,2.1,13.3,8.8,10.3,5.96,7.14,-9999
M0001,2017-11-16,0,14.6,7.9,11,5.5,5.02,-9999
M0001,2017-11-17,1,18.3,5,12.4,7.32,4.68,-9999
M0001,2017-11-18,0.1,18.8,6.2,12.8,4.15,1.36,-9999
M0001,2017-11-19,0,18.5,7.8,12.7,7.49,14.84,-9999
M0001,2017-11-20,13.1,17.6,5,12.3,2.29,8.13,-9999
M0001,2017-11-21,0,18.8,4.5,12.6,3.36,11.17,-9999
M0001,2017-11-22,0,15.1,8.3,10.9,4.62,10.55,-9999
M0001,2017-11-23,0,17.8,7,12.7,2.57,8.82,-9999
M0001,2017-11-24,0,14.1,8.6,11.2,9.84,7.61,-9999
M0001,2017-11-25,0,15.6,8.3,11.4,5.51,2.34,-9999
M0001,2017-11-26,0,17.6,8.7,12.2,8.68,1.08,-9999
M0001,2017-11-27,0,18.9,5,11.6,7.93,13.82,-9999
M0001,2017-11-28,0.1,16,6.5,11.1,9.27,1.87,-9999
M0001,2017-11-29,0,15.8,8.9,11.4,8.38,2.38,-9999
M0001,2017-11-30,0,11.8,8.5,10,8.27,16.14,-9999
M0001,2017-12-01,0.1,13.5,7.8,10.2,8.24,9.84,-9999
M0001,2017-12-02,0,12.4,7.7,9.5,7.88,14.49,-9999
M0001,2017-12-03,0,15.7,6.8,9.8,3.92,5.47,-9999
M0001,2017-12-04,0,16.1,4.7,9.6,9.5,5.54,-9999
M0001,2017-12-05,0,16.1,4.7,9.6,10.72,7.44,-9999
M0001,2017-12-06,0,10.6,6,7.9,6.43,8.58,-9999
M0001,2017-12-07,0,16.8,7.2,11.3,8.61,7.25,-9999
M0001,2017-12-08,0.6,15.8,6,11,1.2,7.16,-9999
M0001,2017-12-09,7.2,16.9,6,10.9,6.61,1.71,-9999
M0001,2017-12-10,30.4,14.4,6.2,10.1,9.87,11.87,-9999
M0001,2017-12-11,0,17.2,3.9,10.2,10.51,2.01,-9999
M0001,2017-12-12,0,16.9,5,9.9,4.37,9.32,-9999
M0001,2017-12-13,0,17,7,10.3,10.4,14.14,-9999
M0001,2017-12-14,0,16.4,7,11.2,1.97,5.02,-9999
M0001,2017-12-15,0,16.3,6.5,11,10.01,2.26,-9999
M0001,2017-12-16,22.8,17.5,5.4,11.5,3.32,11.84,-9999
M0001,2017-12-17,6.5,15.7,7.6,10.4,1.81,5.58,-9999
M0001,2017-12-18,8.2,13.9,3.4,10.4,6.38,8.01,-9999
M0001,2017-12-19,3.3,14,4.5,8.9,1.94,2.08,-9999
M0001,2017-12-20,4.4,10.9,7.7,9.3,6.12,7.61,-9999
M0001,2017-12-21,0,16.5,7.1,11.2,8.65,10.68,-9999
M0001,2017-12-22,6,13.8,7.7,10.4,9,1.22,-9999
M0001,2017-12-23,0.1,13.1,7.9,9.4,5.91,6.51,-9999
M0001,2017-12-24,0,13.7,8.3,10.4,4.5,4.76,-9999
M0001,2017-12-25,0,13,7.7,9.7,10.81,4.93,-9999
M0001,2017-12-26,0,14.4,8,10.7,10.09,7.83,-9999
M0001,2017-12-27,0,16.1,6.7,11.1,5.37,11.14,-9999
M0001,2017-12-28,0,16,6.7,11.1,1.44,9.06,-9999
M0001,2017-12-29,0,15.2,6,10.8,10.66,10.09,-9999
M0001,2017-12-30,7.8,16.4,6.8,11.2,1.81,5.66,-9999
M0001,2017-12-31,1.4,15,7.8,10.5,5.88,2.13,-9999
M0001,2018-01-01,0.9,16.6,7,11.8,1.12,5.43,-9999
M0001,2018-01-02,0.1,17.9,6.8,12.4,9.43,3.89,-9999
M0001,2018-01-03,0,17.9,6.7,12.2,5.44,2.67,-9999
M0001,2018-01-04,0,17.3,8.9,12,5.95,16.37,-9999
M0001,2018-01-05,0,17,9.5,11.8,6.99,4.05,-9999
M0001,2018-01-06,0,16.9,7.5,10.7,5.02,13.37,-9999
M0001,2018-01-07,0,15.4,9.5,11.8,6.81,8.28,-9999
M0001,2018-01-08,0,15.6,9.6,11.8,5.05,14.92,-9999
M0001,2018-01-09,0,16.8,8,11.5,4.79,4.54,-9999
M0001,2018-01-10,0,16.4,9.2,11.8,8.49,5.65,-9999
M0001,2018-01-11,0,16.7,8.9,11.9,4.75,12.41,-9999
M0001,2018-01-12,0,16.3,5.9,11.2,6.53,10.21,-9999
M0001,2018-01-13,0,15.8,7.7,10.8,5.9,14.91,-9999
M0001,2018-01-14,0,15.7,6.8,11.1,3.55,4.94,-9999
M0001,2018-01-15,0,15.2,7,10.2,5.45,4.83,-9999
M0001,2018-01-16,7.2,14.3,7.6,10.7,8.9,15.61,-9999
M0001,2018-01-17,0.1,14,8.9,10.9,2.41,10.77,-9999
M0001,2018-01-18,0,14.8,9,11,1.95,11.16,-9999
M0001,2018-01-19,0.3,16,8.7,11.3,9.72,10.18,-9999
M0001,2018-01-20,0,14.2,8.6,10.8,7.92,5.4,-9999
M0001,2018-01-21,15.8,15.4,6.9,10.5,5.21,9.34,-9999
M0001,2018-01-22,0.2,15.2,6.2,9.9,4.64,11.99,-9999
M0001,2018-01-23,0,14,7.7,10,9.61,1.13,-9999
M0001,2018-01-24,0,13.8,7.8,9.5,10.65,12.13,-9999
M0001,2018-01-25,0,15.4,6,10.1,9.78,9.41,-9999
M0001,2018-01-26,0,16.4,6.9,11.1,10.64,4.54,-9999
M0001,2018-01-27,0,13,8.2,10.3,6.77,5.07,-9999
M0001,2018-01-28,0,15.7,8.7,11.4,5.85,10.28,-9999
M0001,2018-01-29,0,14.5,7.4,10.7,5.26,4.79,-9999
M0001,2018-01-30,0,15,8.7,11.2,3.06,14.53,-9999
M0001,2018-01-31,0,14.7,8.7,10.9,5.46,3.91,-9999
M0001,2018-02-01,2.8,15.1,8.5,10.5,8.08,2.45,-9999
M0001,2018-02-02,13.7,16.8,7,11,10.02,8.68,-9999
M0001,2018-02-03,0.2,15.8,8.5,11,5.02,13.32,-9999
M0001,2018-02-04,0.4,16.7,7,12,4.74,1.93,-9999
M0001,2018-02-05,0.2,16.4,5.8,11.2,5.44,14.2,-9999
