estacion,fecha,rr,tmx,tmn,tmd,hf,vv,RS
M0001,2015-04-25,3.6,15,7.4,10.5,2.35,5.6,-9999
M0001,2015-04-26,0,14.6,7.4,10.3,1.03,16.03,-9999
M0001,2015-04-27,0,14.7,7.7,10.9,9.09,4.42,-9999
M0001,2015-04-28,0,15.2,6.5,9.8,10.19,1.2,-9999
M0001,2015-04-29,0,18.6,6.6,12.7,3.89,10.75,-9999
M0001,2015-04-30,2.6,15.6,7.3,10.9,3.7,12.17,-9999
M0001,2015-05-01,0.2,16.3,7.4,11.4,8.9,14.74,-9999
M0001,2015-05-02,0.1,15.6,7.6,10.6,10.87,0.94,-9999
M0001,2015-05-03,0.2,14,7.1,9.6,10.88,5.18,-9999
M0001,2015-05-04,0.2,16.4,7.3,11.5,8.94,3.66,-9999
M0001,2015-05-05,0,16.4,7,11.4,1.18,9.01,-9999
M0001,2015-05-06,24.9,16.4,7,11.7,3.57,15.51,-9999
M0001,2015-05-07,24.4,15.6,7.9,11.3,10.23,9.99,-9999
M0001,2015-05-08,3.2,13.8,7.8,9.7,1.34,3.5,-9999
M0001,2015-05-09,6.8,14.6,7.6,10.2,7.25,10.28,-9999
M0001,2015-05-10,0.9,15.9,8,10.7,3.46,9.74,-9999
M0001,2015-05-11,0,16.1,7.5,12.1,7.82,8.34,-9999
M0001,2015-05-12,6,15.1,6.9,10.9,2.81,2.33,-9999
M0001,2015-05-13,1.3,14.8,7.2,10.7,6.16,12,-9999
M0001,2015-05-14,8.1,14.1,6.8,10.1,2.19,5.42,-9999
M0001,2015-05-15,0,14.8,6.7,11.5,8.71,8,-9999
M0001,2015-05-16,15.8,14.9,5.8,11,4.52,2.08,-9999
M0001,2015-05-17,7.1,14.7,7.7,10.7,1.71,6.77,-9999
M0001,2015-05-18,3.6,13.8,7,10.5,9.33,16.1,-9999
M0001,2015-05-19,2.8,16.7,7.4,12.3,6.14,13.03,-9999
M0001,2015-05-20,6.1,15.4,7,12,8.48,8.37,-9999
M0001,2015-05-21,8.3,15.6,7.6,11.9,4.26,6.12,-9999
M0001,2015-05-22,4.4,12.6,7.7,8.9,8.41,11.84,-9999
M0001,2015-05-23,8.2,14.4,7,11.3,2.18,1.03,-9999
M0001,2015-05-24,0,15.8,5.7,10.5,2.25,15.88,-9999
M0001,2015-05-25,0,13.7,6.6,9.9,3.25,8.96,-9999
M0001,2015-05-26,0,13.9,6,9.7,6.16,13.45,-9999
M0001,2015-05-27,1.2,15.4,7.6,11.3,1.07,8.79,-9999
M0001,2015-05-28,1.6,14.9,8,11,2.87,13.55,-9999
M0001,2015-05-29,4.4,15,6.8,10.4,4.2,4.07,-9999
M0001,2015-05-30,0.5,13.9,7.6,10.1,7.57,9.06,-9999
M0001,2015-05-31,4.4,15.2,6.7,10.4,1.84,12.28,-9999
M0001,2015-06-01,1.8,13.8,7.2,9.5,7.45,10.45,-9999
M0001,2015-06-02,0,12.2,6.2,10.4,10.9,1.23,-9999
M0001,2015-06-03,0,16.8,6.5,11.2,6.06,3.31,-9999
M0001,2015-06-04,0,14.4,7.5,9.6,3.15,7.93,-9999
M0001,2015-06-05,0,17.2,6.2,10.5,7.59,15.07,-9999
M0001,2015-06-06,0.2,15,7.8,10.8,6.47,7.67,-9999
M0001,2015-06-07,0,16.6,6.9,11.4,10.73,3.5,-9999
M0001,2015-06-08,21.8,16.6,6.7,11.2,8.04,5.2,-9999
M0001,2015-06-09,0,15.6,7.2,10.9,4.61,3.66,-9999
M0001,2015-06-10,0.2,15.9,6.9,11.2,7.81,4.58,-9999
M0001,2015-06-11,0,17.5,8.4,12.1,5.09,15.73,-9999
M0001,2015-06-12,0,17,8.1,11.6,8.04,5.32,-9999
M0001,2015-06-13,0,16,7.5,11.6,2.83,11.85,-9999
M0001,2015-06-14,0,15.9,6.9,11.6,4.07,12.36,-9999
M0001,2015-06-15,1.6,13.9,7.9,10.4,7.63,7.93,-9999
M0001,2015-06-16,20.3,12.9,6.2,10.1,3.96,10.6,-9999
M0001,2015-06-17,1.2,14.2,7,9.9,8.76,9.93,-9999
M0001,2015-06-18,0,15.6,6.7,10.7,10.39,15.59,-9999
M0001,2015-06-19,0,16.2,7,10.8,2.23,6.87,-9999
M0001,2015-06-20,0,15.7,8.4,11,8.38,2.92,-9999
M0001,2015-06-21,0.5,14.5,8.4,11.1,1.96,15.93,-9999
M0001,2015-06-22,1.3,15.8,8.7,11.7,8.6,5.86,-9999
M0001,2015-06-23,6.9,15.9,8,10.8,8.19,1.3,-9999
M0001,2015-06-24,0,15.7,7.3,11,2.5,13.84,-9999
M0001,2015-06-25,0,15.5,6.9,10.1,2.22,1.94,-9999
M0001,2015-06-26,0,17.7,5.9,11.5,3.3,3.37,-9999
M0001,2015-06-27,0,16.2,7.2,11.4,2.02,10.35,-9999
M0001,2015-06-28,0,17.5,7.6,12.1,5.14,11.78,-9999
M0001,2015-06-29,0,17.7,7.2,11.9,2.58,10.71,-9999
M0001,2015-06-30,0,16.3,7.3,11.6,5.69,12.12,-9999
M0001,2015-07-01,0,16.7,7.8,11.4,2.02,15.89,-9999
M0001,2015-07-02,0,17.2,6.7,11.6,10.41,15.88,-9999
M0001,2015-07-03,0,14.9,8.6,10.6,4.45,12.48,-9999
M0001,2015-07-04,0,15.2,7.5,10.2,5.38,5.85,-9999
M0001,2015-07-05,0,14.3,6.8,10.2,7.93,14.52,-9999
M0001,2015-07-06,3.2,14.6,7.7,10.8,7.49,9.56,-9999
M0001,2015-07-07,0,14.4,7.8,10.6,10.16,4.87,-9999
M0001,2015-07-08,0,15.2,7.6,10.9,8.91,3.52,-9999
M0001,2015-07-09,0,15.7,7.5,10.8,3.79,10.47,-9999
M0001,2015-07-10,0,14.3,5.4,10.6,3.68,4.53,-9999
M0001,2015-07-11,0,15.4,6.6,11.5,4.04,11.47,-9999
M0001,2015-07-12,0,16,6.8,10.6,1.88,6.74,-9999
M0001,2015-07-13,0,16.4,4.2,10.8,6.6,9.64,-9999
M0001,2015-07-14,0,13.9,6.7,10.1,7.46,11.42,-9999
M0001,2015-07-15,0,15.1,6.9,10.4,7.5,15.3,-9999
M0001,2015-07-16,0,15.6,5.9,10.2,2.83,2.62,-9999
M0001,2015-07-17,0,16.2,7.5,11.4,8.91,3.04,-9999
M0001,2015-07-18,0,11.2,6.8,8.8,2.87,1.4,-9999
M0001,2015-07-19,0,12.8,6.4,9.5,4.85,6.42,-9999
M0001,2015-07-20,26,15.5,6.7,9.9,8.48,9.06,-9999
M0001,2015-07-21,6.2,14.6,5.7,10.3,3.09,7.3,-9999
M0001,2015-07-22,0,16.7,7,11.8,6.73,9.8,-9999
M0001,2015-07-23,0,14.6,7.7,10,3.89,10.1,-9999
M0001,2015-07-24,0,11.9,7,9.3,1.76,1.6,-9999
M0001,2015-07-25,0,12,6.8,9.9,10.91,13.28,-9999
M0001,2015-07-26,0,11.2,7,8.8,4.1,8.21,-9999
M0001,2015-07-27,0,15.3,5.7,9.8,8.83,6.11,-9999
M0001,2015-07-28,0,15.9,5.2,11.1,9.4,3.02,-9999
M0001,2015-07-29,0,16.8,6.3,11,10.88,10.14,-9999
M0001,2015-07-30,0,15.9,7.1,11.2,9.53,12.03,-9999
M0001,2015-07-31,0,15.7,8.6,12.3,5.57,2.6,-9999
M0001,2015-08-01,0,17.2,5.8,11.8,5.21,4.58,-9999
M0001,2015-08-02,0,15.6,4.8,10.2,1.54,6.82,-9999
M0001,2015-08-03,0,15.4,5.2,10.1,10.64,11.96,-9999
M0001,2015-08-04,0,14.1,5.3,10.4,5.85,10.56,-9999
M0001,2015-08-05,0,14.9,6,10.9,3.62,12.49,-9999
M0001,2015-08-06,0,15.9,5.5,10.7,6.6,2.69,-9999
M0001,2015-08-07,0.7,16.2,6,11.3,6.37,7.1,-9999
M0001,2015-08-08,0.2,15.7,5.9,10.9,9.8,0.92,-9999
M0001,2015-08-09,0.7,14.6,7.3,10.7,3.07,15.95,-9999
M0001,2015-08-10,0,15,7.5,10.6,7.37,3.09,-9999
M0001,2015-08-11,0,14.9,6.7,10.5,4.49,8.6,-9999
M0001,2015-08-12,0,15.4,6.6,10.7,2.12,5.77,-9999
M0001,2015-08-13,0.3,17.5,3.4,11.4,9.45,5.64,-9999
M0001,2015-08-14,0,15.4,5.9,10.4,5.81,4.68,-9999
M0001,2015-08-15,0,16.1,6.1,10.8,4.16,8.34,-9999
